%time,field.header.seq,field.header.stamp,field.header.frame_id,field.status
1362970488878523748,105,1362970488878523748,,1362970488.878525549,Operation, FACE, ELECTED, NOGROUP, None, POSECONTROL, , -3.43, 0.0559, 1.47, 0, -0, 27.9, -3.5, -0.5, 1.5, 0, -0, 28.9;
1362970488998517775,106,1362970488998517775,,1362970488.998519846,Operation, FACE, ELECTED, NOGROUP, None, POSECONTROL, , -3.39, 0.0517, 1.48, 0, -0, 28, -3.5, -0.5, 1.5, 0, -0, 28;
1362970489118556499,107,1362970489118556499,,1362970489.118558303,Operation, FACE, ELECTED, NOGROUP, None, POSECONTROL, , -3.37, 0.0504, 1.48, 0, -0, 27.8, -3.5, -0.5, 1.5, 0, -0, 27.2;
1362970489238517065,108,1362970489238517065,,1362970489.238519309,Operation, FACE, ELECTED, NOGROUP, None, POSECONTROL, , -3.35, 0.0407, 1.49, 0, -0, 27.3, -3.5, -0.5, 1.5, 0, -0, 26.3;
1362970489358540192,109,1362970489358540192,,1362970489.358542225,Operation, FACE, ELECTED, NOGROUP, None, POSECONTROL, , -3.32, 0.0377, 1.5, 0, -0, 26.7, -3.5, -0.5, 1.5, 0, -0, 25.4;
1362970489478516246,110,1362970489478516246,,1362970489.478518117,Operation, FACE, ELECTED, NOGROUP, None, POSECONTROL, , -3.3, 0, 1.5, 0, -0, 26.2, -3.5, -0.5, 1.5, 0, -0, 24.6;
1362970489598604657,111,1362970489598604657,,1362970489.598606626,Operation, FACE, ELECTED, NOGROUP, None, POSECONTROL, , -3.27, 0, 1.5, 0, -0, 25.5, -3.5, -0.5, 1.5, 0, -0, 23.7;
1362970489718513470,112,1362970489718513470,,1362970489.718514758,Operation, FACE, ELECTED, NOGROUP, None, POSECONTROL, , -3.26, 0, 1.5, 0, -0, 24.9, -3.5, -0.5, 1.5, 0, -0, 22.9;
1362970489838519316,113,1362970489838519316,,1362970489.838520536,Operation, FACE, ELECTED, NOGROUP, None, POSECONTROL, , -3.24, 0, 1.49, 0, -0, 24, -3.5, -0.5, 1.5, 0, -0, 22;
1362970489958522160,114,1362970489958522160,,1362970489.958523506,Operation, FACE, ELECTED, NOGROUP, None, POSECONTROL, , -3.22, 0, 1.49, 0, -0, 23.2, -3.5, -0.5, 1.5, 0, -0, 21.1;
1362970490078518144,115,1362970490078518144,,1362970490.078520096,Operation, FACE, ELECTED, NOGROUP, None, POSECONTROL, , -3.21, 0, 1.5, 0, -0, 22.4, -3.5, -0.5, 1.5, 0, -0, 20.3;
1362970490198498127,116,1362970490198498127,,1362970490.198499438,Operation, FACE, ELECTED, NOGROUP, None, POSECONTROL, , -3.2, -0.0465, 1.49, 0, -0, 21.4, -3.5, -0.5, 1.5, 0, -0, 19.4;
1362970490318526620,117,1362970490318526620,,1362970490.318528694,Operation, FACE, ELECTED, NOGROUP, None, POSECONTROL, , -3.19, -0.0576, 1.5, 0, -0, 20.9, -3.5, -0.5, 1.5, 0, -0, 18.6;
1362970490438684303,118,1362970490438684303,,1362970490.438687684,Operation, FACE, ELECTED, NOGROUP, None, POSECONTROL, , -3.18, -0.0751, 1.49, 0, -0, 19.8, -3.5, -0.5, 1.5, 0, -0, 17.7;
1362970490558487665,119,1362970490558487665,,1362970490.558496072,Operation, FACE, ELECTED, NOGROUP, None, POSECONTROL, , -3.18, -0.0972, 1.49, 0, -0, 18.8, -3.5, -0.5, 1.5, 0, -0, 17.1;
1362970490678460476,120,1362970490678460476,,1362970490.678467968,Operation, FACE, ELECTED, NOGROUP, None, POSECONTROL, , -3.17, -0.119, 1.5, 0, -0, 18.2, -3.5, -0.5, 1.5, 0, -0, 17.1;
1362970490798467783,121,1362970490798467783,,1362970490.798475334,Operation, FACE, ELECTED, NOGROUP, None, POSECONTROL, , -3.18, -0.129, 1.48, 0, -0, 17.5, -3.5, -0.5, 1.5, 0, -0, 17.1;
1362970490918494712,122,1362970490918494712,,1362970490.918504059,Operation, FACE, ELECTED, NOGROUP, None, POSECONTROL, , -3.18, -0.142, 1.49, 0, -0, 17, -3.5, -0.5, 1.5, 0, -0, 17.1;
1362970491038472814,123,1362970491038472814,,1362970491.038480310,Operation, FACE, ELECTED, NOGROUP, None, POSECONTROL, , -3.18, -0.157, 1.49, 0, -0, 16.7, -3.5, -0.5, 1.5, 0, -0, 17.1;
1362970491158473492,124,1362970491158473492,,1362970491.158482882,Operation, FACE, ELECTED, NOGROUP, None, POSECONTROL, , -3.18, -0.177, 1.49, 0, -0, 16.5, -3.5, -0.5, 1.5, 0, -0, 17.1;
1362970491278464172,125,1362970491278464172,,1362970491.278471930,Operation, FACE, ELECTED, NOGROUP, None, POSECONTROL, , -3.19, -0.18, 1.49, 0, -0, 16.5, -3.5, -0.5, 1.5, 0, -0, 17.1;
1362970491398469051,126,1362970491398469051,,1362970491.398477713,Operation, FACE, ELECTED, NOGROUP, None, POSECONTROL, , -3.2, -0.185, 1.49, 0, -0, 16.5, -3.5, -0.5, 1.5, 0, -0, 17.1;
1362970491518469741,127,1362970491518469741,,1362970491.518480699,Operation, FACE, ELECTED, NOGROUP, None, POSECONTROL, , -3.21, -0.187, 1.48, 0, -0, 16.4, -3.5, -0.5, 1.5, 0, -0, 17.1;
1362970491638462978,128,1362970491638462978,,1362970491.638467820,Operation, FACE, ELECTED, NOGROUP, None, POSECONTROL, , -3.23, -0.188, 1.49, 0, -0, 16.5, -3.5, -0.5, 1.5, 0, -0, 17.1;
1362970491758459626,129,1362970491758459626,,1362970491.758466830,Operation, FACE, ELECTED, NOGROUP, None, POSECONTROL, , -3.25, -0.186, 1.48, 0, -0, 16.4, -3.5, -0.5, 1.5, 0, -0, 17.1;
1362970491878467337,130,1362970491878467337,,1362970491.878477986,Operation, FACE, ELECTED, NOGROUP, None, POSECONTROL, , -3.26, -0.186, 1.48, 0, -0, 16.5, -3.5, -0.5, 1.5, 0, -0, 17.1;
1362970491998459043,131,1362970491998459043,,1362970491.998467611,Operation, FACE, ELECTED, NOGROUP, None, POSECONTROL, , -3.28, -0.192, 1.49, 0, -0, 16.5, -3.5, -0.5, 1.5, 0, -0, 17.1;
1362970492118455271,132,1362970492118455271,,1362970492.118461713,Operation, FACE, ELECTED, NOGROUP, None, POSECONTROL, , -3.29, -0.192, 1.49, 0, -0, 16.5, -3.5, -0.5, 1.5, 0, -0, 17.1;
1362970492238463566,133,1362970492238463566,,1362970492.238470903,Operation, FACE, ELECTED, NOGROUP, None, POSECONTROL, , -3.3, -0.19, 1.49, 0, -0, 16.6, -3.5, -0.5, 1.5, 0, -0, 17.1;
1362970492358459438,134,1362970492358459438,,1362970492.358468110,Operation, FACE, ELECTED, NOGROUP, None, POSECONTROL, , -3.33, -0.183, 1.5, 0, -0, 16.7, -3.5, -0.5, 1.5, 0, -0, 17.1;
1362970492478476915,135,1362970492478476915,,1362970492.478484209,Operation, FACE, ELECTED, NOGROUP, None, POSECONTROL, , -3.34, -0.177, 1.5, 0, -0, 16.7, -3.5, -0.5, 1.5, 0, -0, 17.1;
1362970492598474480,136,1362970492598474480,,1362970492.598482176,Operation, FACE, ELECTED, NOGROUP, None, POSECONTROL, , -3.36, -0.176, 1.51, 0, -0, 16.7, -3.5, -0.5, 1.5, 0, -0, 17.1;
1362970492718501749,137,1362970492718501749,,1362970492.718521703,Operation, FACE, ELECTED, NOGROUP, None, POSECONTROL, , -3.37, -0.172, 1.52, 0, -0, 16.7, -3.5, -0.5, 1.5, 0, -0, 17.1;
1362970492838463468,138,1362970492838463468,,1362970492.838470959,Operation, FACE, ELECTED, NOGROUP, None, POSECONTROL, , -3.39, -0.167, 1.52, 0, -0, 16.6, -3.5, -0.5, 1.5, 0, -0, 17.1;
1362970492958482628,139,1362970492958482628,,1362970492.958492269,Operation, FACE, ELECTED, NOGROUP, None, POSECONTROL, , -3.42, -0.172, 1.52, 0, -0, 16.5, -3.5, -0.5, 1.5, 0, -0, 17.1;
1362970493078576773,140,1362970493078576773,,1362970493.078579256,Operation, FACE, ELECTED, NOGROUP, None, POSECONTROL, , -3.43, -0.172, 1.52, 0, -0, 16.5, -3.5, -0.5, 1.5, 0, -0, 18;
1362970493198507492,141,1362970493198507492,,1362970493.198509119,Operation, FACE, ELECTED, NOGROUP, None, POSECONTROL, , -3.46, -0.167, 1.52, 0, -0, 16.5, -3.5, -0.5, 1.5, 0, -0, 18.9;
1362970493318518016,142,1362970493318518016,,1362970493.318519956,Operation, FACE, ELECTED, NOGROUP, None, POSECONTROL, , -3.47, -0.181, 1.52, 0, -0, 16.7, -3.5, -0.5, 1.5, 0, -0, 19.7;
1362970493438527781,143,1362970493438527781,,1362970493.438529379,Operation, FACE, ELECTED, NOGROUP, None, POSECONTROL, , -3.49, -0.182, 1.51, 0, -0, 17.2, -3.5, -0.5, 1.5, 0, -0, 20.6;
1362970493558598902,144,1362970493558598902,,1362970493.558601175,Operation, FACE, ELECTED, NOGROUP, None, POSECONTROL, , -3.52, -0.177, 1.53, 0, -0, 17.8, -3.5, -0.5, 1.5, 0, -0, 21.4;
1362970493678521910,145,1362970493678521910,,1362970493.678523604,Operation, FACE, ELECTED, NOGROUP, None, POSECONTROL, , -3.54, -0.182, 1.53, 0, -0, 18.2, -3.5, -0.5, 1.5, 0, -0, 22.3;
1362970493798521427,146,1362970493798521427,,1362970493.798523384,Operation, FACE, ELECTED, NOGROUP, None, POSECONTROL, , -3.56, -0.179, 1.52, 0, -0, 18.6, -3.5, -0.5, 1.5, 0, -0, 23.2;
1362970493918544618,147,1362970493918544618,,1362970493.918546331,Operation, FACE, ELECTED, NOGROUP, None, POSECONTROL, , -3.57, -0.183, 1.52, 0, -0, 18.9, -3.5, -0.5, 1.5, 0, -0, 24;
1362970494038510276,148,1362970494038510276,,1362970494.038511915,Operation, FACE, ELECTED, NOGROUP, None, POSECONTROL, , -3.58, -0.179, 1.53, 0, -0, 19.3, -3.5, -0.5, 1.5, 0, -0, 24.9;
1362970494158559499,149,1362970494158559499,,1362970494.158561586,Operation, FACE, ELECTED, NOGROUP, None, POSECONTROL, , -3.59, -0.176, 1.53, 0, -0, 19.6, -3.5, -0.5, 1.5, 0, -0, 25.7;
1362970494278527448,150,1362970494278527448,,1362970494.278529718,Operation, FACE, ELECTED, NOGROUP, None, POSECONTROL, , -3.6, -0.175, 1.53, 0, -0, 20.2, -3.5, -0.5, 1.5, 0, -0, 26.6;
1362970494398679106,151,1362970494398679106,,1362970494.398682615,Operation, FACE, ELECTED, NOGROUP, None, POSECONTROL, , -3.61, -0.181, 1.53, 0, -0, 20.6, -3.5, -0.5, 1.5, 0, -0, 27.4;
1362970494518457810,152,1362970494518457810,,1362970494.518463795,Operation, FACE, ELECTED, NOGROUP, None, POSECONTROL, , -3.61, -0.183, 1.53, 0, -0, 21.1, -3.5, -0.5, 1.5, 0, -0, 28;
