         t,         x,         y,       yaw,   current,   battCap,  mBattCap,   voltage,     mVLpf,   battTem,  tEneDiss,    batLel,      xDot,      yDot,    yamDot,  isCharge,    cState,    cSoure,
  0.100000,  0.000000,  0.000000,  0.000000, -0.182000,  2.701000,  2.702000, 14.917000, 14.917000, 15.000000,  0.000000,  0.999630,  0.000000,  0.000000,  0.000000,  0.000000,  0.000000,  0.000000,
  0.200000,  1.018780,  8.863810,  1.193140, -0.208000,  2.701000,  2.702000, 14.917000, 14.917000, 15.000000,  0.000000,  0.999630,  0.000000,  0.000000,  0.000000,  0.000000,  0.000000,  0.000000,
  0.300000,  1.018780,  8.864560,  1.204010, -0.234000,  2.701000,  2.702000, 14.890000, 14.916460, 15.000000,  0.000000,  0.999630,  0.000000,  0.000000,  0.000000,  0.000000,  0.000000,  0.000000,
  0.400000,  1.018780,  8.864560,  1.204010, -0.247000,  2.701000,  2.702000, 14.890000, 14.915931, 15.000000,  0.000000,  0.999630,  0.000000,  0.000000,  0.000000,  0.000000,  0.000000,  0.000000,
  0.500000,  1.016830,  8.865490,  1.206780, -0.247000,  2.701000,  2.702000, 14.890000, 14.915412, 15.000000,  0.000000,  0.999630,  0.000000,  0.000000,  0.000000,  0.000000,  0.000000,  0.000000,
  0.600000,  1.016830,  8.865490,  1.206780, -0.247000,  2.701000,  2.702000, 14.890000, 14.914904, 15.000000,  0.000000,  0.999630,  0.000000,  0.000000,  0.000000,  0.000000,  0.000000,  0.000000,
  0.700000,  1.018780,  8.863810,  1.193140, -0.254000,  2.701000,  2.702000, 14.890000, 14.914406, 15.000000,  0.000000,  0.999630,  0.000000,  0.000000,  0.000000,  0.000000,  0.000000,  0.000000,
  0.800000,  1.018780,  8.863810,  1.193140, -0.260000,  2.701000,  2.702000, 14.890000, 14.913918, 15.000000,  0.000000,  0.999630,  0.000000,  0.000000,  0.000000,  0.000000,  0.000000,  0.000000,
  0.900000,  1.017800,  8.865410,  1.210930, -0.260000,  2.701000,  2.702000, 14.890000, 14.913439, 15.000000,  0.000000,  0.999630,  0.000000,  0.000000,  0.000000,  0.000000,  0.000000,  0.000000,
  1.000000,  1.017810,  8.863890,  1.211090, -0.260000,  2.701000,  2.702000, 14.890000, 14.912970, 15.000000,  0.000000,  0.999630,  0.000000,  0.000000,  0.000000,  0.000000,  0.000000,  0.000000,
  1.100000,  1.017810,  8.863890,  1.211090, -0.260000,  2.701000,  2.702000, 14.890000, 14.912510, 15.000000,  0.000000,  0.999630,  0.000000,  0.000000,  0.000000,  0.000000,  0.000000,  0.000000,
  1.200000,  1.018780,  8.863810,  1.193140, -0.254000,  2.701000,  2.702000, 14.862000, 14.911500, 15.000000,  0.000000,  0.999630,  0.000000,  0.000000,  0.000000,  0.000000,  0.000000,  0.000000,
  1.300000,  1.018780,  8.863810,  1.193140, -0.254000,  2.701000,  2.702000, 14.862000, 14.910510, 15.000000,  0.000000,  0.999630,  0.000000,  0.000000,  0.000000,  0.000000,  0.000000,  0.000000,
  1.400000,  1.019750,  8.863720,  1.197340, -0.254000,  2.701000,  2.702000, 14.862000, 14.909540, 15.000000,  0.000000,  0.999630,  0.000000,  0.000000,  0.000000,  0.000000,  0.000000,  0.000000,
  1.500000,  1.019750,  8.863720,  1.197340, -0.254000,  2.701000,  2.702000, 14.862000, 14.908589, 15.000000,  0.000000,  0.999630,  0.000000,  0.000000,  0.000000,  0.000000,  0.000000,  0.000000,
  1.600000,  1.016830,  8.865490,  1.206780, -0.260000,  2.701000,  2.702000, 14.862000, 14.907658, 15.000000,  0.000000,  0.999630,  0.000000,  0.000000,  0.000000,  0.000000,  0.000000,  0.000000,
  1.700000,  1.019740,  8.864480,  1.208060, -0.267000,  2.701000,  2.702000, 14.862000, 14.906744, 15.000000,  0.000000,  0.999630,  0.000000,  0.000000,  0.000000,  0.000000,  0.000000,  0.000000,
  1.800000,  1.019740,  8.864480,  1.208060, -0.260000,  2.701000,  2.702000, 14.862000, 14.905849, 15.000000,  0.000000,  0.999630,  0.000000,  0.000000,  0.000000,  0.000000,  0.000000,  0.000000,
  1.900000,  1.018780,  8.863810,  1.193140, -0.260000,  2.701000,  2.702000, 14.862000, 14.904972, 15.000000,  0.000000,  0.999630,  0.000000,  0.000000,  0.000000,  0.000000,  0.000000,  0.000000,
  2.000000,  1.018780,  8.863810,  1.193140, -0.260000,  2.701000,  2.702000, 14.862000, 14.904113, 15.000000,  0.000000,  0.999630,  0.000000,  0.000000,  0.000000,  0.000000,  0.000000,  0.000000,
  2.100000,  1.020700,  8.865140,  1.222680, -0.260000,  2.701000,  2.702000, 14.862000, 14.903271, 15.000000,  0.000000,  0.999630,  0.000000,  0.000000,  0.000000,  0.000000,  0.000000,  0.000000,
  2.200000,  1.020700,  8.865140,  1.222680, -0.254000,  2.701000,  2.702000, 14.862000, 14.902445, 15.000000,  0.000000,  0.999630,  0.000000,  0.000000,  0.000000,  0.000000,  0.000000,  0.000000,
  2.300000,  1.017800,  8.865410,  1.210930, -0.254000,  2.701000,  2.702000, 14.862000, 14.901636, 15.000000,  0.000000,  0.999630,  0.000000,  0.000000,  0.000000,  0.000000,  0.000000,  0.000000,
  2.400000,  1.018780,  8.864560,  1.204010, -0.254000,  2.701000,  2.702000, 14.862000, 14.900844, 15.000000,  0.000000,  0.999630,  0.000000,  0.000000,  0.000000,  0.000000,  0.000000,  0.000000,
  2.500000,  1.018780,  8.864560,  1.204010, -0.254000,  2.701000,  2.702000, 14.862000, 14.900066, 15.000000,  0.000000,  0.999630,  0.000000,  0.000000,  0.000000,  0.000000,  0.000000,  0.000000,
  2.600000,  1.020700,  8.865140,  1.222680, -0.254000,  2.701000,  2.702000, 14.862000, 14.899305, 15.000000,  0.000000,  0.999630,  0.000000,  0.000000,  0.000000,  0.000000,  0.000000,  0.000000,
  2.700000,  1.020700,  8.865140,  1.222680, -0.260000,  2.701000,  2.702000, 14.862000, 14.898560, 15.000000,  0.000000,  0.999630,  0.000000,  0.000000,  0.000000,  0.000000,  0.000000,  0.000000,
  2.800000,  1.016840,  8.864740,  1.195520, -0.260000,  2.701000,  2.702000, 14.862000, 14.897828, 15.000000,  0.000000,  0.999630,  0.000000,  0.000000,  0.000000,  0.000000,  0.000000,  0.000000,
  2.900000,  1.016840,  8.864740,  1.195520, -0.260000,  2.701000,  2.702000, 14.862000, 14.897112, 15.000000,  0.000000,  0.999630,  0.000000,  0.000000,  0.000000,  0.000000,  0.000000,  0.000000,
  3.000000,  1.017810,  8.864650,  1.199830, -0.260000,  2.701000,  2.702000, 14.862000, 14.896410, 15.000000,  0.000000,  0.999630,  0.000000,  0.000000,  0.000000,  0.000000,  0.000000,  0.000000,
  3.100000,  1.017810,  8.864650,  1.199830, -0.260000,  2.701000,  2.702000, 14.862000, 14.895721, 15.000000,  0.000000,  0.999630,  0.000000,  0.000000,  0.000000,  0.000000,  0.000000,  0.000000,
  3.200000,  1.017810,  8.864650,  1.199830, -0.260000,  2.701000,  2.702000, 14.862000, 14.895047, 15.000000,  0.000000,  0.999630,  0.000000,  0.000000,  0.000000,  0.000000,  0.000000,  0.000000,
  3.300000,  1.018780,  8.864560,  1.204010, -0.254000,  2.701000,  2.702000, 14.862000, 14.894386, 15.000000,  0.000000,  0.999630,  0.000000,  0.000000,  0.000000,  0.000000,  0.000000,  0.000000,
  3.400000,  1.018780,  8.864560,  1.204010, -0.254000,  2.701000,  2.702000, 14.862000, 14.893739, 15.000000,  0.000000,  0.999630,  0.000000,  0.000000,  0.000000,  0.000000,  0.000000,  0.000000,
  3.500000,  1.017810,  8.864650,  1.199830, -0.254000,  2.701000,  2.702000, 14.862000, 14.893104, 15.000000,  0.000000,  0.999630,  0.000000,  0.000000,  0.000000,  0.000000,  0.000000,  0.000000,
  3.600000,  1.017810,  8.864650,  1.199830, -0.254000,  2.701000,  2.702000, 14.862000, 14.892482, 15.000000,  0.000000,  0.999630,  0.000000,  0.000000,  0.000000,  0.000000,  0.000000,  0.000000,
