         t,         x,         y,       yaw,   current,   battCap,  mBattCap,   voltage,     mVLpf,   battTem,  tEneDiss,    batLel,      xDot,      yDot,    yamDot,  isCharge,    cState,    cSoure,
  0.100000,  0.000000,  0.000000,  0.000000, -0.195000,  2.701000,  2.702000, 15.752000, 15.752000, 15.000000,  0.000000,  0.999630,  0.000000,  0.000000,  0.000000,  0.000000,  0.000000,  0.000000,
  0.200000,  0.153174,  8.811840,  1.213620, -0.215000,  2.701000,  2.702000, 15.752000, 15.752000, 15.000000,  0.000000,  0.999630,  0.000000,  0.000000,  0.000000,  0.000000,  0.000000,  0.000000,
  0.300000,  0.153174,  8.811840,  1.213620, -0.221000,  2.701000,  2.702000, 15.752000, 15.752000, 15.000000,  0.000000,  0.999630,  0.000000,  0.000000,  0.000000,  0.000000,  0.000000,  0.000000,
  0.400000,  0.153174,  8.811840,  1.213620, -0.228000,  2.701000,  2.702000, 15.752000, 15.752000, 15.000000,  0.000000,  0.999630,  0.000000,  0.000000,  0.000000,  0.000000,  0.000000,  0.000000,
  0.500000,  0.154385,  8.810900,  1.220950, -0.228000,  2.701000,  2.702000, 15.752000, 15.752000, 15.000000,  0.000000,  0.999630,  0.000000,  0.000000,  0.000000,  0.000000,  0.000000,  0.000000,
  0.600000,  0.154385,  8.810900,  1.220950, -0.228000,  2.701000,  2.702000, 15.752000, 15.752000, 15.000000,  0.000000,  0.999630,  0.000000,  0.000000,  0.000000,  0.000000,  0.000000,  0.000000,
  0.700000,  0.153174,  8.811840,  1.213620, -0.234000,  2.701000,  2.702000, 15.752000, 15.752000, 15.000000,  0.000000,  0.999630,  0.000000,  0.000000,  0.000000,  0.000000,  0.000000,  0.000000,
  0.800000,  0.153174,  8.811840,  1.213620, -0.234000,  2.701000,  2.702000, 15.752000, 15.752000, 15.000000,  0.000000,  0.999630,  0.000000,  0.000000,  0.000000,  0.000000,  0.000000,  0.000000,
  0.900000,  0.153174,  8.811840,  1.213620, -0.241000,  2.701000,  2.702000, 15.752000, 15.752000, 15.000000,  0.000000,  0.999630,  0.000000,  0.000000,  0.000000,  0.000000,  0.000000,  0.000000,
  1.000000,  0.153174,  8.811840,  1.213620, -0.241000,  2.701000,  2.702000, 15.752000, 15.752000, 15.000000,  0.000000,  0.999630,  0.000000,  0.000000,  0.000000,  0.000000,  0.000000,  0.000000,
  1.100000,  0.153174,  8.811840,  1.213620, -0.234000,  2.701000,  2.702000, 15.752000, 15.752000, 15.000000,  0.000000,  0.999630,  0.000000,  0.000000,  0.000000,  0.000000,  0.000000,  0.000000,
  1.200000,  0.153174,  8.811840,  1.213620, -0.234000,  2.701000,  2.702000, 15.752000, 15.752000, 15.000000,  0.000000,  0.999630,  0.000000,  0.000000,  0.000000,  0.000000,  0.000000,  0.000000,
  1.300000,  0.153174,  8.811840,  1.213620, -0.228000,  2.701000,  2.702000, 15.752000, 15.752000, 15.000000,  0.000000,  0.999630,  0.000000,  0.000000,  0.000000,  0.000000,  0.000000,  0.000000,
  1.400000,  0.153174,  8.811840,  1.213620, -0.228000,  2.701000,  2.702000, 15.752000, 15.752000, 15.000000,  0.000000,  0.999630,  0.000000,  0.000000,  0.000000,  0.000000,  0.000000,  0.000000,
  1.500000,  0.153174,  8.811840,  1.213620, -0.228000,  2.701000,  2.702000, 15.752000, 15.752000, 15.000000,  0.000000,  0.999630,  0.000000,  0.000000,  0.000000,  0.000000,  0.000000,  0.000000,
  1.600000,  0.153174,  8.811840,  1.213620, -0.228000,  2.701000,  2.702000, 15.752000, 15.752000, 15.000000,  0.000000,  0.999630,  0.000000,  0.000000,  0.000000,  0.000000,  0.000000,  0.000000,
  1.700000,  0.153174,  8.811840,  1.213620, -0.234000,  2.701000,  2.702000, 15.752000, 15.752000, 15.000000,  0.000000,  0.999630,  0.000000,  0.000000,  0.000000,  0.000000,  0.000000,  0.000000,
  1.800000,  0.153174,  8.811840,  1.213620, -0.241000,  2.701000,  2.702000, 15.725000, 15.751460, 15.000000,  0.000000,  0.999630,  0.000000,  0.000000,  0.000000,  0.000000,  0.000000,  0.000000,
  1.900000,  0.153174,  8.811840,  1.213620, -0.247000,  2.701000,  2.702000, 15.725000, 15.750931, 15.000000,  0.000000,  0.999630,  0.000000,  0.000000,  0.000000,  0.000000,  0.000000,  0.000000,
  2.000000,  0.154381,  8.811750,  1.208340, -0.241000,  2.701000,  2.702000, 15.725000, 15.750412, 15.000000,  0.000000,  0.999630,  0.000000,  0.000000,  0.000000,  0.000000,  0.000000,  0.000000,
  2.100000,  0.154381,  8.811750,  1.208340, -0.241000,  2.701000,  2.702000, 15.725000, 15.749904, 15.000000,  0.000000,  0.999630,  0.000000,  0.000000,  0.000000,  0.000000,  0.000000,  0.000000,
