         t,         x,         y,       yaw,   current,   battCap,  mBattCap,   voltage,     mVLpf,   battTem,  tEneDiss,    batLel,      xDot,      yDot,    yamDot,
  0.100000,  0.000000,  0.000000,  0.000000, -0.195000,  2.701000,  2.702000, 15.558000, 15.558000, 14.000000,  0.000000,  0.999630,0.000000e+00,0.000000e+00,0.000000e+00,
  0.200000,  1.840440,  7.513050, -1.508700, -0.215000,  2.701000,  2.702000, 15.558000, 15.558000, 14.000000,  0.000000,  0.999630,0.000000e+00,0.000000e+00,0.000000e+00,
  0.300000,  1.840440,  7.513050, -1.508700, -0.234000,  2.701000,  2.702000, 15.558000, 15.558000, 14.000000,  0.000000,  0.999630,0.000000e+00,0.000000e+00,0.000000e+00,
  0.400000,  1.840450,  7.512360, -1.497930, -0.241000,  2.701000,  2.702000, 15.558000, 15.558000, 14.000000,  0.000000,  0.999630,0.000000e+00,0.000000e+00,0.000000e+00,
  0.500000,  1.840450,  7.512360, -1.497930, -0.241000,  2.701000,  2.702000, 15.558000, 15.558000, 14.000000,  0.000000,  0.999630,0.000000e+00,0.000000e+00,0.000000e+00,
  0.600000,  1.840440,  7.513050, -1.508700, -0.247000,  2.701000,  2.702000, 15.558000, 15.558000, 14.000000,  0.000000,  0.999630,0.000000e+00,0.000000e+00,0.000000e+00,
  0.700000,  1.840440,  7.513050, -1.508700, -0.247000,  2.701000,  2.702000, 15.558000, 15.558000, 14.000000,  0.000000,  0.999630,0.000000e+00,0.000000e+00,0.000000e+00,
  0.800000,  1.839650,  7.513000, -1.508830, -0.254000,  2.701000,  2.702000, 15.530000, 15.557440, 14.000000,  0.000000,  0.999630,0.000000e+00,0.000000e+00,0.000000e+00,
  0.900000,  1.838870,  7.511560, -1.508790, -0.254000,  2.701000,  2.702000, 15.530000, 15.556891, 14.000000,  0.000000,  0.999630,0.000000e+00,0.000000e+00,0.000000e+00,
  1.000000,  1.838870,  7.511560, -1.508790, -0.254000,  2.701000,  2.702000, 15.530000, 15.556354, 14.000000,  0.000000,  0.999630,0.000000e+00,0.000000e+00,0.000000e+00,
  1.100000,  1.841290,  7.512420, -1.497930, -0.254000,  2.701000,  2.702000, 15.530000, 15.555826, 14.000000,  0.000000,  0.999630,0.000000e+00,0.000000e+00,0.000000e+00,
  1.200000,  1.841290,  7.512420, -1.497930, -0.254000,  2.701000,  2.702000, 15.530000, 15.555309, 14.000000,  0.000000,  0.999630,0.000000e+00,0.000000e+00,0.000000e+00,
  1.300000,  1.842080,  7.512490, -1.519850, -0.254000,  2.701000,  2.702000, 15.530000, 15.554803, 14.000000,  0.000000,  0.999630,0.000000e+00,0.000000e+00,0.000000e+00,
  1.400000,  1.842080,  7.513170, -1.508970, -0.254000,  2.701000,  2.702000, 15.530000, 15.554307, 14.000000,  0.000000,  0.999630,0.000000e+00,0.000000e+00,0.000000e+00,
  1.500000,  1.842080,  7.513170, -1.508970, -0.254000,  2.701000,  2.702000, 15.530000, 15.553821, 14.000000,  0.000000,  0.999630,0.000000e+00,0.000000e+00,0.000000e+00,
  1.600000,  1.841290,  7.513110, -1.509110, -0.254000,  2.701000,  2.702000, 15.530000, 15.553344, 14.000000,  0.000000,  0.999630,0.000000e+00,0.000000e+00,0.000000e+00,
  1.700000,  1.841290,  7.513110, -1.509110, -0.254000,  2.701000,  2.702000, 15.530000, 15.552876, 14.000000,  0.000000,  0.999630,0.000000e+00,0.000000e+00,0.000000e+00,
  1.800000,  1.841260,  7.512420, -1.497930, -0.254000,  2.701000,  2.702000, 15.530000, 15.552419, 14.000000,  0.000000,  0.999630,0.000000e+00,0.000000e+00,0.000000e+00,
  1.900000,  1.841250,  7.513810, -1.519750, -0.254000,  2.701000,  2.702000, 15.530000, 15.551970, 14.000000,  0.000000,  0.999630,0.000000e+00,0.000000e+00,0.000000e+00,
  2.000000,  1.841250,  7.513810, -1.519750, -0.260000,  2.701000,  2.702000, 15.530000, 15.551531, 14.000000,  0.000000,  0.999630,0.000000e+00,0.000000e+00,0.000000e+00,
  2.100000,  1.841260,  7.512420, -1.497930, -0.260000,  2.701000,  2.702000, 15.502000, 15.550540, 14.000000,  0.000000,  0.999630,0.000000e+00,0.000000e+00,0.000000e+00,
  2.200000,  1.842080,  7.512490, -1.519850, -0.254000,  2.701000,  2.702000, 15.502000, 15.549569, 14.000000,  0.000000,  0.999630,0.000000e+00,0.000000e+00,0.000000e+00,
  2.300000,  1.842080,  7.512490, -1.519850, -0.247000,  2.701000,  2.702000, 15.502000, 15.548617, 14.000000,  0.000000,  0.999630,0.000000e+00,0.000000e+00,0.000000e+00,
  2.400000,  1.841270,  7.511740, -1.508660, -0.254000,  2.701000,  2.702000, 15.502000, 15.547685, 14.000000,  0.000000,  0.999630,0.000000e+00,0.000000e+00,0.000000e+00,
  2.500000,  1.841270,  7.511740, -1.508660, -0.247000,  2.701000,  2.702000, 15.502000, 15.546771, 14.000000,  0.000000,  0.999630,0.000000e+00,0.000000e+00,0.000000e+00,
  2.600000,  1.841260,  7.513110, -1.508840, -0.247000,  2.701000,  2.702000, 15.502000, 15.545876, 14.000000,  0.000000,  0.999630,0.000000e+00,0.000000e+00,0.000000e+00,
  2.700000,  1.840470,  7.513050, -1.508970, -0.254000,  2.701000,  2.702000, 15.502000, 15.544998, 14.000000,  0.000000,  0.999630,0.000000e+00,0.000000e+00,0.000000e+00,
  2.800000,  1.840470,  7.513050, -1.508970, -0.254000,  2.701000,  2.702000, 15.502000, 15.544138, 14.000000,  0.000000,  0.999630,0.000000e+00,0.000000e+00,0.000000e+00,
  2.900000,  1.842080,  7.513170, -1.508970, -0.254000,  2.701000,  2.702000, 15.502000, 15.543295, 14.000000,  0.000000,  0.999630,0.000000e+00,0.000000e+00,0.000000e+00,
  3.000000,  1.842080,  7.513170, -1.508970, -0.260000,  2.701000,  2.702000, 15.502000, 15.542469, 14.000000,  0.000000,  0.999630,0.000000e+00,0.000000e+00,0.000000e+00,
  3.100000,  1.842070,  7.513870, -1.520030, -0.254000,  2.701000,  2.702000, 15.502000, 15.541659, 14.000000,  0.000000,  0.999630,0.000000e+00,0.000000e+00,0.000000e+00,
  3.200000,  1.842070,  7.513870, -1.520030, -0.254000,  2.701000,  2.702000, 15.502000, 15.540866, 14.000000,  0.000000,  0.999630,0.000000e+00,0.000000e+00,0.000000e+00,
  3.300000,  1.842080,  7.513170, -1.508970, -0.247000,  2.701000,  2.702000, 15.502000, 15.540089, 14.000000,  0.000000,  0.999630,0.000000e+00,0.000000e+00,0.000000e+00,
  3.400000,  1.841250,  7.513810, -1.519750, -0.247000,  2.701000,  2.702000, 15.502000, 15.539327, 14.000000,  0.000000,  0.999630,0.000000e+00,0.000000e+00,0.000000e+00,
  3.500000,  1.841250,  7.513810, -1.519750, -0.247000,  2.701000,  2.702000, 15.502000, 15.538580, 14.000000,  0.000000,  0.999630,0.000000e+00,0.000000e+00,0.000000e+00,
  3.600000,  1.842080,  7.512480, -1.497930, -0.247000,  2.701000,  2.702000, 15.502000, 15.537848, 15.000000,  0.000000,  0.999630,0.000000e+00,0.000000e+00,0.000000e+00,
  3.700000,  1.842080,  7.512480, -1.497930, -0.254000,  2.701000,  2.702000, 15.502000, 15.537131, 15.000000,  0.000000,  0.999630,0.000000e+00,0.000000e+00,0.000000e+00,
  3.800000,  1.841290,  7.512420, -1.497930, -0.254000,  2.701000,  2.702000, 15.502000, 15.536428, 15.000000,  0.000000,  0.999630,0.000000e+00,0.000000e+00,0.000000e+00,
  3.900000,  1.840470,  7.512360, -1.497930, -0.254000,  2.701000,  2.702000, 15.502000, 15.535740, 15.000000,  0.000000,  0.999630,0.000000e+00,0.000000e+00,0.000000e+00,
  4.000000,  1.840470,  7.512360, -1.497930, -0.254000,  2.701000,  2.702000, 15.502000, 15.535065, 15.000000,  0.000000,  0.999630,0.000000e+00,0.000000e+00,0.000000e+00,
  4.100000,  1.842080,  7.513170, -1.508970, -0.254000,  2.701000,  2.702000, 15.502000, 15.534404, 15.000000,  0.000000,  0.999630,0.000000e+00,0.000000e+00,0.000000e+00,
  4.200000,  1.842080,  7.513170, -1.508970, -0.254000,  2.701000,  2.702000, 15.502000, 15.533755, 15.000000,  0.000000,  0.999630,0.000000e+00,0.000000e+00,0.000000e+00,
  4.300000,  1.841290,  7.512420, -1.497930, -0.247000,  2.701000,  2.702000, 15.502000, 15.533120, 15.000000,  0.000000,  0.999630,0.000000e+00,0.000000e+00,0.000000e+00,
  4.400000,  1.841290,  7.512420, -1.497930, -0.247000,  2.701000,  2.702000, 15.502000, 15.532497, 15.000000,  0.000000,  0.999630,0.000000e+00,0.000000e+00,0.000000e+00,
  4.500000,  1.842870,  7.513230, -1.508840, -0.247000,  2.701000,  2.702000, 15.502000, 15.531887, 15.000000,  0.000000,  0.999630,0.000000e+00,0.000000e+00,0.000000e+00,
  4.600000,  1.842080,  7.513170, -1.508970, -0.247000,  2.701000,  2.702000, 15.502000, 15.531289, 15.000000,  0.000000,  0.999630,0.000000e+00,0.000000e+00,0.000000e+00,
  4.700000,  1.842080,  7.513170, -1.508970, -0.254000,  2.701000,  2.702000, 15.502000, 15.530704, 15.000000,  0.000000,  0.999630,0.000000e+00,0.000000e+00,0.000000e+00,
  4.800000,  1.840470,  7.512360, -1.497930, -0.260000,  2.701000,  2.702000, 15.502000, 15.530129, 15.000000,  0.000000,  0.999630,0.000000e+00,0.000000e+00,0.000000e+00,
  4.900000,  1.840470,  7.512360, -1.497930, -0.254000,  2.701000,  2.702000, 15.502000, 15.529567, 15.000000,  0.000000,  0.999630,0.000000e+00,0.000000e+00,0.000000e+00,
  5.000000,  1.842090,  7.511790, -1.508800, -0.254000,  2.701000,  2.702000, 15.502000, 15.529016, 15.000000,  0.000000,  0.999630,0.000000e+00,0.000000e+00,0.000000e+00,
  5.100000,  1.842080,  7.513170, -1.508970, -0.254000,  2.701000,  2.702000, 15.502000, 15.528475, 15.000000,  0.000000,  0.999630,0.000000e+00,0.000000e+00,0.000000e+00,
  5.200000,  1.842080,  7.513170, -1.508970, -0.254000,  2.701000,  2.702000, 15.502000, 15.527946, 15.000000,  0.000000,  0.999630,0.000000e+00,0.000000e+00,0.000000e+00,
  5.300000,  1.842080,  7.513170, -1.508970, -0.260000,  2.701000,  2.702000, 15.502000, 15.527427, 15.000000,  0.000000,  0.999630,0.000000e+00,0.000000e+00,-4.000000e-01,
  5.400000,  1.842080,  7.513170, -1.508970, -0.286000,  2.701000,  2.702000, 15.474000, 15.526359, 15.000000,  0.000000,  0.999630,0.000000e+00,0.000000e+00,-4.000000e-01,
  5.500000,  1.841260,  7.512420, -1.548970, -0.391000,  2.701000,  2.702000, 15.474000, 15.525311, 15.000000,  0.000000,  0.999630,0.000000e+00,0.000000e+00,-4.000000e-01,
  5.600000,  1.841260,  7.512420, -1.588970, -0.436000,  2.701000,  2.702000, 15.474000, 15.524285, 15.000000,  0.000000,  0.999630,0.000000e+00,0.000000e+00,-4.000000e-01,
  5.700000,  1.841260,  7.512420, -1.628970, -0.436000,  2.701000,  2.702000, 15.446000, 15.522719, 15.000000,  0.000000,  0.999630,0.000000e+00,0.000000e+00,-4.000000e-01,
  5.800000,  1.841260,  7.512420, -1.668970, -0.443000,  2.701000,  2.702000, 15.446000, 15.521185, 15.000000,  0.000000,  0.999630,0.000000e+00,0.000000e+00,-4.000000e-01,
  5.900000,  1.841260,  7.512420, -1.708970, -0.443000,  2.701000,  2.702000, 15.446000, 15.519681, 15.000000,  0.000000,  0.999630,0.000000e+00,0.000000e+00,-4.000000e-01,
  6.000000,  1.841260,  7.512420, -1.748970, -0.456000,  2.701000,  2.702000, 15.446000, 15.518208, 15.000000,  0.000000,  0.999630,0.000000e+00,0.000000e+00,-4.000000e-01,
  6.100000,  1.841260,  7.512420, -1.797445, -0.456000,  2.701000,  2.702000, 15.418000, 15.516203, 15.000000,  0.000000,  0.999630,0.000000e+00,0.000000e+00,-4.000000e-01,
  6.200000,  1.841260,  7.512420, -1.837445, -0.449000,  2.701000,  2.702000, 15.418000, 15.514239, 15.000000,  0.000000,  0.999630,0.000000e+00,0.000000e+00,-4.000000e-01,
  6.300000,  1.841260,  7.512420, -1.877445, -0.449000,  2.701000,  2.702000, 15.418000, 15.512315, 15.000000,  0.000000,  0.999630,0.000000e+00,0.000000e+00,-4.000000e-01,
  6.400000,  1.841260,  7.512420, -1.921461, -0.443000,  2.701000,  2.702000, 15.418000, 15.510428, 15.000000,  0.000000,  0.999630,0.000000e+00,0.000000e+00,-4.000000e-01,
  6.500000,  1.841260,  7.512420, -1.961461, -0.449000,  2.701000,  2.702000, 15.391000, 15.508039, 15.000000,  0.000000,  0.999630,0.000000e+00,0.000000e+00,-4.000000e-01,
  6.600000,  1.841260,  7.512420, -2.001461, -0.443000,  2.701000,  2.702000, 15.391000, 15.505699, 15.000000,  0.000000,  0.999630,0.000000e+00,0.000000e+00,-4.000000e-01,
  6.700000,  1.841260,  7.512420, -2.041461, -0.456000,  2.701000,  2.702000, 15.391000, 15.503406, 15.000000,  0.000000,  0.999630,0.000000e+00,0.000000e+00,-4.000000e-01,
  6.800000,  1.841260,  7.512420, -2.081461, -0.456000,  2.701000,  2.702000, 15.391000, 15.501158, 15.000000,  0.000000,  0.999630,0.000000e+00,0.000000e+00,-4.000000e-01,
  6.900000,  1.841260,  7.512420, -2.121461, -0.456000,  2.701000,  2.702000, 15.391000, 15.498955, 15.000000,  0.000000,  0.999630,0.000000e+00,0.000000e+00,-4.000000e-01,
  7.000000,  1.841260,  7.512420, -2.161461, -0.462000,  2.701000,  2.702000, 15.391000, 15.496796, 15.000000,  0.000000,  0.999630,0.000000e+00,0.000000e+00,-4.000000e-01,
  7.100000,  1.841260,  7.512420, -2.201461, -0.462000,  2.701000,  2.702000, 15.391000, 15.494679, 15.000000,  0.000000,  0.999630,0.000000e+00,0.000000e+00,-4.000000e-01,
  7.200000,  1.841260,  7.512420, -2.241461, -0.469000,  2.701000,  2.702000, 15.363000, 15.492045, 15.000000,  0.000000,  0.999630,0.000000e+00,0.000000e+00,-4.000000e-01,
  7.300000,  1.841260,  7.512420, -2.281519, -0.456000,  2.701000,  2.702000, 15.363000, 15.489465, 15.000000,  0.000000,  0.999630,0.000000e+00,0.000000e+00,-4.000000e-01,
