         t,         x,         y,       yaw,   current,   battCap,  mBattCap,   voltage,     mVLpf,   battTem,  tEneDiss,    batLel,      xDot,      yDot,    yamDot,
  0.100000,  0.000000,  0.000000,  0.000000, -0.202000,  2.701000,  2.702000, 16.031000, 16.031000, 15.000000,  0.000000,  0.999630,0.000000e+00,0.000000e+00,0.000000e+00,
  0.200000,  1.861100,  7.536590, -1.597480, -0.228000,  2.701000,  2.702000, 16.031000, 16.031000, 15.000000,  0.000000,  0.999630,0.000000e+00,0.000000e+00,0.000000e+00,
  0.300000,  1.861100,  7.536590, -1.597480, -0.241000,  2.701000,  2.702000, 16.031000, 16.031000, 15.000000,  0.000000,  0.999630,0.000000e+00,0.000000e+00,0.000000e+00,
  0.400000,  1.861100,  7.535900, -1.586650, -0.247000,  2.701000,  2.702000, 16.031000, 16.031000, 15.000000,  0.000000,  0.999630,0.000000e+00,0.000000e+00,0.000000e+00,
  0.500000,  1.861100,  7.535900, -1.586650, -0.254000,  2.701000,  2.702000, 16.031000, 16.031000, 15.000000,  0.000000,  0.999630,0.000000e+00,0.000000e+00,0.000000e+00,
  0.600000,  1.862710,  7.535320, -1.575840, -0.254000,  2.701000,  2.702000, 16.031000, 16.031000, 15.000000,  0.000000,  0.999630,0.000000e+00,0.000000e+00,0.000000e+00,
  0.700000,  1.862710,  7.535320, -1.575840, -0.254000,  2.701000,  2.702000, 16.003000, 16.030439, 15.000000,  0.000000,  0.999630,0.000000e+00,0.000000e+00,0.000000e+00,
  0.800000,  1.861100,  7.535900, -1.586650, -0.254000,  2.701000,  2.702000, 16.003000, 16.029890, 15.000000,  0.000000,  0.999630,0.000000e+00,0.000000e+00,0.000000e+00,
  0.900000,  1.861910,  7.535960, -1.587750, -0.260000,  2.701000,  2.702000, 16.003000, 16.029352, 15.000000,  0.000000,  0.999630,0.000000e+00,0.000000e+00,0.000000e+00,
  1.000000,  1.861910,  7.535960, -1.587750, -0.260000,  2.701000,  2.702000, 16.003000, 16.028826, 15.000000,  0.000000,  0.999630,0.000000e+00,0.000000e+00,0.000000e+00,
  1.100000,  1.863520,  7.535380, -1.576800, -0.260000,  2.701000,  2.702000, 16.003000, 16.028309, 15.000000,  0.000000,  0.999630,0.000000e+00,0.000000e+00,0.000000e+00,
  1.200000,  1.863520,  7.535380, -1.576800, -0.254000,  2.701000,  2.702000, 16.003000, 16.027803, 15.000000,  0.000000,  0.999630,0.000000e+00,0.000000e+00,0.000000e+00,
  1.300000,  1.861890,  7.535260, -1.574900, -0.254000,  2.701000,  2.702000, 16.003000, 16.027308, 15.000000,  0.000000,  0.999630,0.000000e+00,0.000000e+00,0.000000e+00,
  1.400000,  1.862690,  7.536700, -1.597500, -0.254000,  2.701000,  2.702000, 16.003000, 16.026821, 15.000000,  0.000000,  0.999630,0.000000e+00,0.000000e+00,0.000000e+00,
  1.500000,  1.862690,  7.536700, -1.597500, -0.254000,  2.701000,  2.702000, 16.003000, 16.026344, 15.000000,  0.000000,  0.999630,0.000000e+00,0.000000e+00,0.000000e+00,
  1.600000,  1.862710,  7.535320, -1.575840, -0.254000,  2.701000,  2.702000, 16.003000, 16.025877, 15.000000,  0.000000,  0.999630,0.000000e+00,0.000000e+00,0.000000e+00,
  1.700000,  1.862710,  7.535320, -1.575840, -0.254000,  2.701000,  2.702000, 15.975000, 16.024860, 15.000000,  0.000000,  0.999630,0.000000e+00,0.000000e+00,0.000000e+00,
  1.800000,  1.861890,  7.535960, -1.585600, -0.254000,  2.701000,  2.702000, 15.975000, 16.023863, 15.000000,  0.000000,  0.999630,0.000000e+00,0.000000e+00,0.000000e+00,
  1.900000,  1.861890,  7.535260, -1.574900, -0.260000,  2.701000,  2.702000, 15.975000, 16.022886, 15.000000,  0.000000,  0.999630,0.000000e+00,0.000000e+00,0.000000e+00,
  2.000000,  1.861890,  7.535260, -1.574900, -0.260000,  2.701000,  2.702000, 15.975000, 16.021929, 15.000000,  0.000000,  0.999630,0.000000e+00,0.000000e+00,0.000000e+00,
  2.100000,  1.863510,  7.536070, -1.587770, -0.254000,  2.701000,  2.702000, 15.975000, 16.020990, 15.000000,  0.000000,  0.999630,0.000000e+00,0.000000e+00,0.000000e+00,
  2.200000,  1.863510,  7.536070, -1.587770, -0.254000,  2.701000,  2.702000, 15.975000, 16.020071, 15.000000,  0.000000,  0.999630,0.000000e+00,0.000000e+00,0.000000e+00,
  2.300000,  1.862700,  7.536010, -1.586670, -0.254000,  2.701000,  2.702000, 15.975000, 16.019169, 15.000000,  0.000000,  0.999630,0.000000e+00,0.000000e+00,0.000000e+00,
  2.400000,  1.862700,  7.536010, -1.586670, -0.254000,  2.701000,  2.702000, 15.975000, 16.018286, 15.000000,  0.000000,  0.999630,0.000000e+00,0.000000e+00,0.000000e+00,
  2.500000,  1.861890,  7.535960, -1.585600, -0.254000,  2.701000,  2.702000, 15.975000, 16.017420, 15.000000,  0.000000,  0.999630,0.000000e+00,0.000000e+00,0.000000e+00,
  2.600000,  1.862710,  7.535320, -1.575840, -0.260000,  2.701000,  2.702000, 15.975000, 16.016571, 15.000000,  0.000000,  0.999630,0.000000e+00,0.000000e+00,0.000000e+00,
  2.700000,  1.862710,  7.535320, -1.575840, -0.260000,  2.701000,  2.702000, 15.975000, 16.015739, 15.000000,  0.000000,  0.999630,0.000000e+00,0.000000e+00,0.000000e+00,
  2.800000,  1.863520,  7.535380, -1.576800, -0.260000,  2.701000,  2.702000, 15.975000, 16.014925, 15.000000,  0.000000,  0.999630,0.000000e+00,0.000000e+00,0.000000e+00,
  2.900000,  1.863520,  7.535380, -1.576800, -0.260000,  2.701000,  2.702000, 15.975000, 16.014126, 15.000000,  0.000000,  0.999630,0.000000e+00,0.000000e+00,0.000000e+00,
  3.000000,  1.864330,  7.535430, -1.577790, -0.260000,  2.701000,  2.702000, 15.975000, 16.013344, 15.000000,  0.000000,  0.999630,0.000000e+00,0.000000e+00,0.000000e+00,
  3.100000,  1.862690,  7.536700, -1.597500, -0.260000,  2.701000,  2.702000, 15.975000, 16.012577, 15.000000,  0.000000,  0.999630,0.000000e+00,0.000000e+00,0.000000e+00,
  3.200000,  1.862690,  7.536700, -1.597500, -0.254000,  2.701000,  2.702000, 15.975000, 16.011826, 15.000000,  0.000000,  0.999630,0.000000e+00,0.000000e+00,0.000000e+00,
  3.300000,  1.861890,  7.535260, -1.574900, -0.254000,  2.701000,  2.702000, 15.975000, 16.011089, 15.000000,  0.000000,  0.999630,0.000000e+00,0.000000e+00,0.000000e+00,
  3.400000,  1.861890,  7.535260, -1.574900, -0.254000,  2.701000,  2.702000, 15.975000, 16.010368, 15.000000,  0.000000,  0.999630,0.000000e+00,0.000000e+00,0.000000e+00,
  3.500000,  1.862700,  7.536010, -1.586670, -0.254000,  2.701000,  2.702000, 15.975000, 16.009661, 15.000000,  0.000000,  0.999630,0.000000e+00,0.000000e+00,0.000000e+00,
  3.600000,  1.862700,  7.536010, -1.586670, -0.254000,  2.701000,  2.702000, 15.975000, 16.008968, 15.000000,  0.000000,  0.999630,0.000000e+00,0.000000e+00,0.000000e+00,
  3.700000,  1.862710,  7.535320, -1.575840, -0.260000,  2.701000,  2.702000, 15.975000, 16.008289, 15.000000,  0.000000,  0.999630,0.000000e+00,0.000000e+00,0.000000e+00,
  3.800000,  1.862710,  7.535320, -1.575840, -0.260000,  2.701000,  2.702000, 15.975000, 16.007624, 15.000000,  0.000000,  0.999630,0.000000e+00,0.000000e+00,0.000000e+00,
  3.900000,  1.863520,  7.535390, -1.598550, -0.260000,  2.701000,  2.702000, 15.975000, 16.006971, 15.000000,  0.000000,  0.999630,0.000000e+00,0.000000e+00,0.000000e+00,
  4.000000,  1.861890,  7.535260, -1.574900, -0.254000,  2.701000,  2.702000, 15.975000, 16.006332, 15.000000,  0.000000,  0.999630,0.000000e+00,0.000000e+00,0.000000e+00,
  4.100000,  1.861890,  7.535260, -1.574900, -0.254000,  2.701000,  2.702000, 15.975000, 16.005705, 15.000000,  0.000000,  0.999630,0.000000e+00,0.000000e+00,0.000000e+00,
  4.200000,  1.862700,  7.536010, -1.586670, -0.254000,  2.701000,  2.702000, 15.975000, 16.005091, 15.000000,  0.000000,  0.999630,0.000000e+00,0.000000e+00,0.000000e+00,
  4.300000,  1.862700,  7.536010, -1.586670, -0.254000,  2.701000,  2.702000, 15.975000, 16.004488, 15.000000,  0.000000,  0.999630,0.000000e+00,0.000000e+00,0.000000e+00,
  4.400000,  1.862700,  7.536010, -1.586670, -0.254000,  2.701000,  2.702000, 15.975000, 16.003899, 15.000000,  0.000000,  0.999630,0.000000e+00,0.000000e+00,0.000000e+00,
  4.500000,  1.861890,  7.535260, -1.574900, -0.254000,  2.701000,  2.702000, 15.975000, 16.003321, 15.000000,  0.000000,  0.999630,0.000000e+00,0.000000e+00,0.000000e+00,
  4.600000,  1.861890,  7.535260, -1.574900, -0.260000,  2.701000,  2.702000, 15.975000, 16.002754, 16.000000,  0.000000,  0.999630,0.000000e+00,0.000000e+00,0.000000e+00,
  4.700000,  1.862700,  7.536010, -1.586670, -0.260000,  2.701000,  2.702000, 15.975000, 16.002199, 16.000000,  0.000000,  0.999630,0.000000e+00,0.000000e+00,0.000000e+00,
  4.800000,  1.862700,  7.536010, -1.586670, -0.260000,  2.701000,  2.702000, 15.975000, 16.001656, 16.000000,  0.000000,  0.999630,0.000000e+00,0.000000e+00,0.000000e+00,
  4.900000,  1.862720,  7.533940, -1.554170, -0.260000,  2.701000,  2.702000, 15.975000, 16.001122, 16.000000,  0.000000,  0.999630,0.000000e+00,0.000000e+00,0.000000e+00,
  5.000000,  1.862720,  7.533940, -1.554170, -0.260000,  2.701000,  2.702000, 15.975000, 16.000599, 16.000000,  0.000000,  0.999630,0.000000e+00,0.000000e+00,0.000000e+00,
  5.100000,  1.861890,  7.535960, -1.585600, -0.254000,  2.701000,  2.702000, 15.975000, 16.000088, 16.000000,  0.000000,  0.999630,0.000000e+00,0.000000e+00,0.000000e+00,
  5.200000,  1.861090,  7.533820, -1.552850, -0.254000,  2.701000,  2.702000, 15.975000, 15.999586, 16.000000,  0.000000,  0.999630,0.000000e+00,0.000000e+00,0.000000e+00,
  5.300000,  1.861090,  7.533820, -1.552850, -0.260000,  2.701000,  2.702000, 15.947000, 15.998534, 16.000000,  0.000000,  0.999630,0.000000e+00,0.000000e+00,-4.000000e-01,
  5.400000,  1.863510,  7.536070, -1.552850, -0.306000,  2.701000,  2.702000, 15.947000, 15.997503, 16.000000,  0.000000,  0.999630,0.000000e+00,0.000000e+00,-4.000000e-01,
  5.500000,  1.863510,  7.536070, -1.592850, -0.410000,  2.701000,  2.702000, 15.947000, 15.996493, 16.000000,  0.000000,  0.999630,0.000000e+00,0.000000e+00,-4.000000e-01,
  5.600000,  1.863510,  7.536070, -1.632850, -0.443000,  2.701000,  2.702000, 15.919000, 15.994944, 16.000000,  0.000000,  0.999630,0.000000e+00,0.000000e+00,-4.000000e-01,
  5.700000,  1.863510,  7.536070, -1.681258, -0.456000,  2.701000,  2.702000, 15.919000, 15.993424, 16.000000,  0.000000,  0.999630,0.000000e+00,0.000000e+00,-4.000000e-01,
  5.800000,  1.863510,  7.536070, -1.721258, -0.469000,  2.701000,  2.702000, 15.919000, 15.991936, 16.000000,  0.000000,  0.999630,0.000000e+00,0.000000e+00,-4.000000e-01,
