         t,         x,         y,       yaw,   current,   battCap,  mBattCap,   voltage,     mVLpf,   battTem,  tEneDiss,    batLel,      xDot,      yDot,    yamDot,
  0.100000,  0.000000,  0.000000,  0.000000, -0.273000,  2.701000,  2.702000, 13.916000, 13.997339, 15.000000,  0.000000,  0.999630,0.000000e+00,0.000000e+00,0.000000e+00,
  0.200000,  1.800610,  7.443660, -1.522120, -0.273000,  2.701000,  2.702000, 13.916000, 13.995712, 15.000000,  0.000000,  0.999630,0.000000e+00,0.000000e+00,0.000000e+00,
  0.300000,  1.801400,  7.444420, -1.532580, -0.273000,  2.701000,  2.702000, 13.916000, 13.994118, 15.000000,  0.000000,  0.999630,0.000000e+00,0.000000e+00,0.000000e+00,
  0.400000,  1.800610,  7.443660, -1.522120, -0.273000,  2.701000,  2.702000, 13.916000, 13.992556, 15.000000,  0.000000,  0.999630,0.000000e+00,0.000000e+00,0.000000e+00,
  0.500000,  1.800610,  7.443660, -1.522120, -0.267000,  2.701000,  2.702000, 13.916000, 13.991025, 15.000000,  0.000000,  0.999630,0.000000e+00,0.000000e+00,0.000000e+00,
  0.600000,  1.801410,  7.443720, -1.521710, -0.267000,  2.701000,  2.702000, 13.916000, 13.989525, 15.000000,  0.000000,  0.999630,0.000000e+00,0.000000e+00,0.000000e+00,
  0.700000,  1.801410,  7.443720, -1.521710, -0.267000,  2.701000,  2.702000, 13.916000, 13.988054, 15.000000,  0.000000,  0.999630,0.000000e+00,0.000000e+00,0.000000e+00,
  0.800000,  1.799780,  7.444290, -1.532570, -0.267000,  2.701000,  2.702000, 13.916000, 13.986613, 15.000000,  0.000000,  0.999630,0.000000e+00,0.000000e+00,0.000000e+00,
  0.900000,  1.799780,  7.444290, -1.532570, -0.267000,  2.701000,  2.702000, 13.916000, 13.985201, 15.000000,  0.000000,  0.999630,0.000000e+00,0.000000e+00,0.000000e+00,
  1.000000,  1.799790,  7.443590, -1.521700, -0.267000,  2.701000,  2.702000, 13.916000, 13.983817, 15.000000,  0.000000,  0.999630,0.000000e+00,0.000000e+00,0.000000e+00,
  1.100000,  1.801440,  7.443030, -1.511410, -0.267000,  2.701000,  2.702000, 13.916000, 13.982461, 15.000000,  0.000000,  0.999630,0.000000e+00,0.000000e+00,0.000000e+00,
  1.200000,  1.801440,  7.443030, -1.511410, -0.267000,  2.701000,  2.702000, 13.916000, 13.981132, 15.000000,  0.000000,  0.999630,0.000000e+00,0.000000e+00,0.000000e+00,
  1.300000,  1.802240,  7.443090, -1.511130, -0.267000,  2.701000,  2.702000, 13.916000, 13.979829, 15.000000,  0.000000,  0.999630,0.000000e+00,0.000000e+00,0.000000e+00,
